순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,9V8011,2023,042,001,7.464,PACIFIC TIANJIN,ICZ0830,흥아라인(주),WAN,03,남외항 N-3박지,2023-10-01 04:00,2023-10-02 09:00,MBR,03,감만부두 3선석,2023-10-01 04:00,2023-10-02 09:00,접안대기,2023-10-01,허가완료
2,9LC2195,2023,005,001,1.859,DUKAT,BSC2144,글로벌오프쇼어마린서비스(주),WAN,02,남외항 N-2박지,2023-10-01 10:00,2023-10-01 19:00,WAN,02,남외항 N-2박지,2023-10-01 10:00,2023-10-01 19:00,급유,2023-10-01,허가완료
3,YBHR2,2023,001,002,9.227,CS NUSANTARA EXPLORER,BSC0260,욱일해운통상(주),WAN,03,남외항 N-3박지,2023-10-01 04:00,2023-10-01 14:00,WAN,03,남외항 N-3박지,2023-10-01 04:00,2023-10-01 14:00,급유,2023-10-01,허가완료
4,D7FH,2023,002,001,22.662,MAPLE MARINA,BSC2231,(주)위즈쉬핑,WAN,04,남외항 N-4박지,2023-10-01 08:00,2023-10-01 16:00,WAN,04,남외항 N-4박지,2023-10-01 08:00,2023-10-01 16:00,급유,2023-10-01,허가완료
5,200042,2023,051,001,285,제왕호,BSU2591,(주)유일이엔지,MWB,01,봉래동물량장,2023-09-27 21:45,2023-09-28 07:30,MWB,01,봉래동물량장,2023-09-27 21:45,2023-09-28 07:30,계선,2023-10-01,허가완료
6,200042,2023,051,002,285,제왕호,BSU2591,(주)유일이엔지,WAN,04,남외항 N-4박지,2023-09-28 09:10,2023-09-28 10:35,WAN,04,남외항 N-4박지,2023-09-28 09:10,2023-09-28 10:35,양하,2023-10-01,허가완료
7,200042,2023,051,003,285,제왕호,BSU2591,(주)유일이엔지,MBS,05,신선대부두 5선석,2023-09-28 12:10,2023-09-28 15:30,MBS,05,신선대부두 5선석,2023-09-28 12:10,2023-09-28 15:30,양하,2023-10-01,허가완료
8,3FHB3,2023,014,002,17.933,KMTC INCHEON,KMS8832,고려해운(주),MB6,02,자성대부두 62선석,2023-10-01 18:00,2023-10-02 15:00,MB6,02,자성대부두 62선석,2023-10-01 18:00,2023-10-02 15:00,양적하,2023-10-01,허가완료
9,UBCZ3,2023,004,001,698,ICHA,BSC0404,아리스타쉬핑 주식회사,*YQ,01,기타 남항 사설조선소,2023-09-05 07:00,2023-09-20 18:00,*YQ,01,기타 남항 사설조선소,2023-09-05 07:00,2023-09-20 18:00,수리,2023-10-01,허가완료
10,DSEK8,2023,056,001,3.994,SUNNY PALM,KMS8832,고려해운(주),MB6,04,자성대부두 64선석,2023-10-01 14:00,2023-10-02 06:00,MB6,04,자성대부두 64선석,2023-10-01 14:00,2023-10-02 06:00,접안대기,2023-10-01,허가완료
