지사,선종,선명,총톤수,주기관출력,진수년월,길이-폭-깊이,항행구역,소유자
마산,예방선,315대룡호,192,3600,1991.9.1,30.85-9.2-4.2,평수,공단
평택,예방선,202황룡호,120,1880,1992.9.1,25.86-7.8-3.4,연해,공단
여수,작업선,청정14호,1.59,115,1993.1.1,8.06-1.96-0.81,평수,공단
울산,예방선,203황룡호,113,1880,1993.7.1,25.82-7.8-3.4,연해,공단
군산,예방선,106청룡호,113,1350,1993.7.1,25.82-7.8-3.4,연해,공단
부산,예방선,107청룡호,113,1350,1994.4.1,25.82-7.8-3.4,연해,공단
군산,예방선,305대룡호,158,3240,1995.3.1,28.96-8.8-3.8,연해,공단
인천,청방선,인천937호,149,2880,1995.11.1,29.86-10.6-3.4,연해,국가
여수,청방선,전남939호,149,2880,1995.11.1,29.86-10.6-3.4,연해,국가
제주,예방선,306대룡호,190,3600,1995.11.1,30.05-9.2-4.0,연해,공단
부산,예방선,307대룡호,160,3200,1996.2.1,28.96-8.8-3.8,평수,공단
마산,예방선,308대룡호,160,3240,1996.5.1,28.96-8.8-3.8,평수,공단
제주,예방선,207황룡호,139,2500,1996.8.1,26.74-8.6-3.6,연해,공단
여수,방제선,방제1001호,564,0,1997.1.1,52.66-15.24-3.66,연해,공단
목포,청방선,청해호,64,954,1997.2.1,22.27-8.7-2.8,연해,국가
마산,청방선,푸르미2호,52,934,1997.3.1,22.18-8.7-2.8,연해,국가
마산,작업선,청정23호,1.36,180,1997.3.1,6.61-1.96-0.82,평수,공단
대산,청방선,황금산호,50,940,1998.2.1,22.18-8.0-2.8,연해,국가
부산,청방선,부산936호,54,940,1998.3.1,22.18-8.7-2.8,연해,국가
마산,예방선,312대룡호,192,3600,1998.12.1,30.0-9.2-4.0,연해,공단
평택,예방선,313대룡호,190,3600,1999.1.1,29.99-9.2-4.0,연해,공단
제주,작업선,청정21호,1.21,120,1999.6.1,5.86-1.94-0.90,평수,공단
여수,방제선,208황룡호,212,2600,1999.10.1,36.4-9.0-3.9,연해,공단
울산,방제선,방제1002호,751,0,1999.11.1,56.41-15.24-4.27,연해,공단
군산,작업선,청정3호,4.59,300,1999.12.1,11.76-2.4-1.15,평수,공단
부산,예방선,108청룡호,138,1400,2000.7.1,25.67-8.6-3.6,연해,공단
울산,예방선,109청룡호,138,1400,2000.9.1,25.67-8.6-3.6,연해,공단
동해,예방선,316대룡호,225,3600,2000.9.1,31.92-9.6-4.1,평수,공단
여수,작업선,청정15호,4.03,400,2022.1.19,10.25-2.99-0.79,평수,공단
대산,방제선,환경10호,13,700,2022.1.19,13.70-4.5-1.0,평수,공단
목포,청방선,청해2호,82,2638,2022.1.19,24.15-9.4-2.9,연해,국가
부산,조사선,해양환경조사2호,90,2940,2022.2.14,29.17-6.6-3.0,연해,공단
부산,청방선,항만정화2호,88,2400,2022.2.18,24.93-9.4-2.5,연해,국가
군산,청방선,군산청해호,81,2028,2022.3.14,25.08-9.4-2.89,연해,국가
동해,예방선,318대룡호,195,3600,2022.3.16,30.96-9.2-4.25,연해,공단
부산,작업선,청정7호,2.62,250,2022.4.2,8.6-2.5-1.0,평수,공단
동해,작업선,청정9호,1.96,200,2022.4.2,8.1-2.5-0.6,평수,공단
포항,작업선,청정10호,1.73,180,2022.4.2,6.49-2.5-0.58,평수,공단
목포,작업선,청정8호,2.5,250,2022.4.2,8.6-2.5-1.0,평수,공단
평택,청방선,청누리호,78,2434,2022.4.9,24.17-9.4-2.9,연해,국가
인천,방제선,환경9,10,740,2022.4.18,15.8-4.64-0.94,평수,공단
울산,청방선,청화2호(LNG),273,2948,2022.4.19,34.88-10.6-4.3,연해,국가
평택,작업선,청정11호,2.31,180,2022.5.2,8.35-2.5-1.0,평수,공단
부산,예방선,601백룡호,312,6000,2022.5.13,36.54-11.5-4.8,연해,공단
평택,예방선,550금룡호,312,5200,2022.5.13,36.64-11.5-4.8,연해,공단
대산,방제선,환경12호,13,750,2022.5.20,14.19-4.48-1.04,연해,공단
여수,청방선,여청2호,281,2992,2022.6.21,34.87-10.6-4.3,연해,국가
본사,다목적대형방제선,엔담호,5566,10000,2022.6.22,104-20.6-8.3,근해,공단
울산,청방선,청화호,71,1216,2022.7.3,23.77-9.0-2.9,연해,국가
부산,청방선,파란호,70,1522,2022.7.6,23.18-9.5-2.3,연해,국가
포항,청방선,포항해양3호,85,2738,2022.7.17,25.11-9.40-2.90,연해,국가
인천,청방선,에코인천호,281,2992,2022.7.21,37.7-10.6-4.3,연해,국가
부산,청방선,항만정화1호,79,2738,2022.8.15,24.41-9.4-2.4,연해,국가
대산,방제선,방제1003호,654,0,2022.9.2,49.34-15.0-3.5,연해,공단
부산,예방선,212황룡호,160,2500,2022.9.14,27.05-9.0-3.6,연해,공단
