순번,호출부호,입항횟수,입항횟수.1,입항횟수.2,신고톤수,선박명,선사/대리점,선사/대리점.1,신청시설,신청시설.1,신청시설.2,신청일시(FROM ~ TO),신청일시(FROM ~ TO).1,지정시설,지정시설.1,지정시설.2,지정일시(FROM ~ TO),지정일시(FROM ~ TO).1,사용목적명,예보일시,허가유무
1,9V8011,2023,42,1,7.464,PACIFIC TIANJIN,ICZ0830,흥아라인(주),WAN,03,남외항 N-3박지,2023-10-01 04:00,2023-10-02 09:00,MBR,03,감만부두 3선석,2023-10-01 04:00,2023-10-02 09:00,접안대기,2023-10-01,허가완료
10,DSEK8,2023,56,1,3.994,SUNNY PALM,KMS8832,고려해운(주),MB6,04,자성대부두 64선석,2023-10-01 14:00,2023-10-02 06:00,MB6,04,자성대부두 64선석,2023-10-01 14:00,2023-10-02 06:00,접안대기,2023-10-01,허가완료
12,9V7921,2023,27,1,9.962,PACIFIC GENEVA,OSL0038,장금상선(주),WAN,03,남외항 N-3박지,2023-10-01 16:00,2023-10-03 18:00,MBR,04,감만부두 4선석,2023-10-01 16:00,2023-10-03 18:00,접안대기,2023-10-01,허가완료
22,DSQX4,2023,2,1,4.562,LEPUS,BSC2203,주식회사 스완쉬핑,WAN,03,남외항 N-3박지,2023-10-01 13:30,2023-10-03 08:00,MKC,04,감천 중앙부두 4선석,2023-10-01 13:30,2023-10-03 08:00,접안대기,2023-10-01,허가완료
30,DSFU2,2023,115,3,21.688,PANSTAR DREAM,KMC0725,(주)팬스타라인닷컴,MBF,12,신국제여객터미널 12선석,2023-10-01 09:00,2023-10-01 15:00,MBF,12,신국제여객터미널 12선석,2023-10-01 09:00,2023-10-01 15:00,접안대기,2023-10-01,허가완료
38,V7HY3,2023,20,1,9.998,HEUNG-A HAIPHONG,OSL0038,장금상선(주),WAN,04,남외항 N-4박지,2023-10-01 19:00,2023-10-04 18:00,WAN,04,남외항 N-4박지,2023-10-01 19:00,2023-10-04 18:00,접안대기,2023-10-01,허가완료
40,V7UJ2,2023,39,1,9.520,STAR SKIPPER,KMS8833,남성해운(주),WAE,02,E박지 E2 묘지,2023-10-02 17:00,2023-10-03 21:00,WAE,02,E박지 E2 묘지,2023-10-02 17:00,2023-10-03 21:00,접안대기,2023-10-01,허가완료
52,130017,2023,83,1,556,동방5호,BSK3453,서진유업 주식회사,WAU,01,신항 U-1 정박지,2023-09-30 01:00,2023-10-01 23:00,WAU,03,신항 U-3 정박지,2023-09-30 01:00,2023-10-01 23:00,접안대기,2023-10-01,허가완료
62,3FHB3,2023,14,1,17.933,KMTC INCHEON,KMS8832,고려해운(주),WAN,05,남외항 N-5박지,2023-10-01 06:00,2023-10-01 18:00,WAN,05,남외항 N-5박지,2023-10-01 06:00,2023-10-01 18:00,접안대기,2023-10-01,허가완료
63,3FCH6,2023,4,2,7.167,DS PROSPERITY 7,ICC2034,씨레인보우인터내셔널(주),WAN,03,남외항 N-3박지,2023-10-01 06:00,2023-10-03 06:00,MKC,02,감천 중앙부두 2선석,2023-10-01 06:00,2023-10-03 06:00,접안대기,2023-10-01,허가완료
68,V3ZQ6,2023,7,2,2.991,XIANG HAN 8,BSC0362,엘에스해운(주),WAN,03,남외항 N-3박지,2023-10-02 07:00,2023-10-04 07:00,MKC,02,감천 중앙부두 2선석,2023-10-02 07:00,2023-10-04 07:00,접안대기,2023-10-01,허가완료
73,VREG9,2023,5,2,5.275,XING PING,BSC0406,오케이쉬핑(주),WAN,03,남외항 N-3박지,2023-10-02 05:00,2023-10-03 02:00,,,,,,접안대기,2023-10-01,미허가
74,D7WG,2023,18,1,9.858,HECAN,OSL0038,장금상선(주),WAN,04,남외항 N-4박지,2023-10-02 02:00,2023-10-03 12:00,WAN,04,남외항 N-4박지,2023-10-02 02:00,2023-10-03 12:00,접안대기,2023-10-01,허가완료
76,9HA2936,2023,1,1,47.984,IOLCOS DESTINY,BSC2109,주식회사 포스인터내셔날,WAN,05,남외항 N-5박지,2023-10-02 07:00,2023-10-03 23:00,WAN,05,남외항 N-5박지,2023-10-02 07:00,2023-10-03 23:00,접안대기,2023-10-01,허가완료
85,UBHX,2023,1,2,1.416,ANTARES,BSC0076,(주)코르웰,WAN,02,남외항 N-2박지,2023-10-02 10:00,2023-10-06 20:00,MK3,01,감천 3부두 1선석,2023-10-02 10:00,2023-10-06 20:00,접안대기,2023-10-02,허가완료
88,UBFG2,2023,2,1,4.936,PETR RIKORD,KMC0337,그로발스타해운(주),WAN,03,남외항 N-3박지,2023-10-02 12:00,2023-10-03 18:00,WAN,03,남외항 N-3박지,2023-10-02 12:00,2023-10-03 18:00,접안대기,2023-10-02,허가완료
91,120039,2023,63,3,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-09-23 00:20,2023-09-23 04:15,MW5,01,5물량장 1선석,2023-09-23 00:20,2023-09-23 04:15,접안대기,2023-10-02,허가완료
95,120039,2023,64,3,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-09-23 23:05,2023-09-24 09:50,MW5,01,5물량장 1선석,2023-09-23 23:05,2023-09-24 09:50,접안대기,2023-10-02,허가완료
97,120039,2023,64,5,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-09-24 11:40,2023-09-24 16:40,MW5,01,5물량장 1선석,2023-09-24 11:40,2023-09-24 16:40,접안대기,2023-10-02,허가완료
99,120039,2023,64,7,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-09-24 20:40,2023-09-26 08:40,MW5,01,5물량장 1선석,2023-09-24 20:40,2023-09-26 08:40,접안대기,2023-10-02,허가완료
102,120039,2023,64,10,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-09-26 12:55,2023-09-26 18:27,MW5,01,5물량장 1선석,2023-09-26 12:55,2023-09-26 18:27,접안대기,2023-10-02,허가완료
104,120039,2023,64,12,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-09-26 20:07,2023-09-27 10:35,MW5,01,5물량장 1선석,2023-09-26 20:07,2023-09-27 10:35,접안대기,2023-10-02,허가완료
105,120039,2023,64,14,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-09-27 15:30,2023-09-28 05:50,MW5,01,5물량장 1선석,2023-09-27 15:30,2023-09-28 05:50,접안대기,2023-10-02,허가완료
107,120039,2023,64,16,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-09-28 13:00,2023-09-30 07:15,MW5,01,5물량장 1선석,2023-09-28 13:00,2023-09-30 07:15,접안대기,2023-10-02,허가완료
109,120039,2023,64,18,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-09-30 08:40,2023-09-30 09:55,MW5,01,5물량장 1선석,2023-09-30 08:40,2023-09-30 09:55,접안대기,2023-10-02,허가완료
111,120039,2023,64,20,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-09-30 16:00,2023-09-30 18:10,MW5,01,5물량장 1선석,2023-09-30 16:00,2023-09-30 18:10,접안대기,2023-10-02,허가완료
113,120039,2023,65,1,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-10-01 10:30,2023-10-01 13:35,MW5,01,5물량장 1선석,2023-10-01 10:30,2023-10-01 13:35,접안대기,2023-10-02,허가완료
115,120039,2023,65,3,223,삼성호,BSK3377,보림해운 주식회사,MW5,01,5물량장 1선석,2023-10-01 16:55,2023-10-02 07:45,MW5,01,5물량장 1선석,2023-10-01 16:55,2023-10-02 07:45,접안대기,2023-10-02,허가완료
144,070928,2023,11,1,191,태정호,BSZ7512,태정해운,MW5,01,5물량장 1선석,2023-10-01 16:25,2023-10-01 17:20,MW5,01,5물량장 1선석,2023-10-01 16:25,2023-10-01 17:20,접안대기,2023-10-02,허가완료
149,151058,2023,1,1,2.210,미라클 알파,BSC0004,두일해운(주),WAN,02,남외항 N-2박지,2023-10-02 15:00,2023-10-04 08:00,WAN,02,남외항 N-2박지,2023-10-02 15:00,2023-10-04 08:00,접안대기,2023-10-02,허가완료
169,3E2374,2023,3,1,2.996,JI ZHE 7,ICC2034,씨레인보우인터내셔널(주),WAN,02,남외항 N-2박지,2023-10-02 19:00,2023-10-04 12:00,WAN,02,남외항 N-2박지,2023-10-02 19:00,2023-10-04 12:00,접안대기,2023-10-02,허가완료
206,D7WF,2023,28,1,9.858,SHECAN,KMS8833,남성해운(주),WAN,03,남외항 N-3박지,2023-10-03 01:00,2023-10-04 18:00,MB6,04,자성대부두 64선석,2023-10-03 01:00,2023-10-04 18:00,접안대기,2023-10-02,허가완료
207,V7A6230,2023,18,3,18.072,SAWASDEE SPICA,OSL0038,장금상선(주),WAN,04,남외항 N-4박지,2023-10-03 10:00,2023-10-07 11:00,WAN,04,남외항 N-4박지,2023-10-03 10:00,2023-10-07 11:00,접안대기,2023-10-02,허가완료
